,year,month,day,irradiance
214,2015,8,29,6.45
215,2015,8,30,6.12
216,2015,8,31,6.44
217,2022,8,1,5.0
218,2022,8,2,5.78
219,2022,8,3,4.31
220,2022,8,4,3.73
221,2022,8,5,3.32
222,2022,8,6,3.64
223,2022,8,7,1.64
224,2022,8,8,5.86
225,2022,8,9,5.98
226,2022,8,10,6.49
227,2022,8,11,2.45
228,2022,8,12,6.39
229,2022,8,13,5.19
230,2022,8,14,3.17
231,2022,8,15,4.68
232,2022,8,16,3.67
233,2022,8,17,5.83
234,2022,8,18,6.36
235,2022,8,19,6.01
236,2022,8,20,3.78
237,2022,8,21,5.29
238,2022,8,22,5.08
239,2022,8,23,5.52
240,2022,8,24,4.24
241,2022,8,25,5.36
242,2022,8,26,5.59
243,2022,8,27,5.88
244,2022,8,28,5.71
245,2022,8,29,4.93
246,2022,8,30,4.72
247,2022,8,31,5.56
248,2008,8,1,5.04
249,2008,8,2,5.19
250,2008,8,3,4.5
251,2008,8,4,4.27
252,2008,8,5,3.01
253,2008,8,6,4.63
254,2008,8,7,4.32
255,2008,8,8,1.87
256,2008,8,9,5.91
257,2008,8,10,4.74
258,2008,8,11,6.08
259,2008,8,12,3.45
260,2008,8,13,3.51
261,2008,8,14,3.26
262,2008,8,15,3.09
263,2008,8,16,3.94
264,2008,8,17,3.56
265,2008,8,18,5.35
266,2008,8,19,5.71
267,2008,8,20,4.72
268,2008,8,21,3.08
269,2008,8,22,1.72
270,2008,8,23,5.62
271,2008,8,24,4.71
272,2008,8,25,5.34
273,2008,8,26,3.97
274,2008,8,27,5.54
275,2008,8,28,6.5
276,2008,8,29,6.66
277,2008,8,30,6.42
278,2008,8,31,6.48
279,2009,8,1,6.4
280,2009,8,2,6.23
281,2009,8,3,6.26
282,2009,8,4,6.04
283,2009,8,5,4.77
284,2009,8,6,4.52
285,2009,8,7,6.03
286,2009,8,8,6.38
287,2009,8,9,6.66
288,2009,8,10,6.28
289,2009,8,11,5.0
290,2009,8,12,5.75
291,2009,8,13,4.1
292,2009,8,14,2.53
293,2009,8,15,2.43
294,2009,8,16,2.71
295,2009,8,17,3.92
296,2009,8,18,6.1
297,2009,8,19,5.66
298,2009,8,20,6.15
299,2009,8,21,5.75
300,2009,8,22,6.26
301,2009,8,23,6.49
302,2009,8,24,5.93
303,2009,8,25,4.34
304,2009,8,26,3.19
305,2009,8,27,4.0
306,2009,8,28,5.93
307,2009,8,29,5.54
308,2009,8,30,3.8
309,2009,8,31,5.78
310,2010,8,1,2.7
311,2010,8,2,5.27
312,2010,8,3,4.9
313,2010,8,4,4.88
314,2010,8,5,2.38
315,2010,8,6,6.26
316,2010,8,7,6.51
317,2010,8,8,6.55
318,2010,8,9,6.01
319,2010,8,10,5.81
320,2010,8,11,5.11
321,2010,8,12,3.65
322,2010,8,13,5.22
323,2010,8,14,4.51
324,2010,8,15,5.25
325,2010,8,16,3.78
326,2010,8,17,4.47
327,2010,8,18,3.33
328,2010,8,19,2.26
329,2010,8,20,3.51
330,2010,8,21,2.85
331,2010,8,22,3.18
332,2010,8,23,4.82
333,2010,8,24,4.25
334,2010,8,25,3.64
335,2010,8,26,5.02
336,2010,8,27,5.32
337,2010,8,28,4.29
338,2010,8,29,4.78
339,2010,8,30,4.63
340,2010,8,31,4.19
341,2011,8,1,5.51
342,2011,8,2,5.81
343,2011,8,3,4.48
344,2011,8,4,3.55
345,2011,8,5,4.06
346,2011,8,6,3.09
347,2011,8,7,5.03
348,2011,8,8,4.91
349,2011,8,9,5.0
350,2011,8,10,3.85
351,2011,8,11,3.5
352,2011,8,12,3.15
353,2011,8,13,5.59
354,2011,8,14,3.93
355,2011,8,15,2.01
356,2011,8,16,1.69
357,2011,8,17,4.59
358,2011,8,18,5.52
359,2011,8,19,3.55
360,2011,8,20,5.44
361,2011,8,21,6.01
362,2011,8,22,5.84
363,2011,8,23,2.43
364,2011,8,24,4.13
365,2011,8,25,5.45
366,2011,8,26,4.56
367,2011,8,27,3.9
368,2011,8,28,6.27
369,2011,8,29,6.16
370,2011,8,30,6.05
371,2011,8,31,6.16
372,2012,8,1,2.4
373,2012,8,2,4.29
374,2012,8,3,5.7
375,2012,8,4,4.43
376,2012,8,5,4.63
377,2012,8,6,4.62
378,2012,8,7,3.0
379,2012,8,8,3.88
380,2012,8,9,2.61
381,2012,8,10,4.95
382,2012,8,11,3.99
383,2012,8,12,6.18
384,2012,8,13,4.28
385,2012,8,14,4.43
386,2012,8,15,4.82
387,2012,8,16,4.98
388,2012,8,17,5.52
389,2012,8,18,5.24
390,2012,8,19,3.52
391,2012,8,20,3.51
392,2012,8,21,1.92
393,2012,8,22,3.56
394,2012,8,23,3.58
395,2012,8,24,3.04
396,2012,8,25,2.07
